filename,class_number
000000.png,18
000001.png,18
000002.png,18
000003.png,18
000004.png,9
000005.png,18
000006.png,9
000007.png,18
000008.png,42
000009.png,9
000010.png,18
000011.png,42
000012.png,9
000013.png,18
000014.png,40
000015.png,40
000016.png,40
000017.png,63
000018.png,63
000019.png,15
000020.png,19
000021.png,15
000022.png,19
000023.png,54
000024.png,54
000025.png,54
000026.png,54
000027.png,54
000028.png,54
000029.png,54
000030.png,54
000031.png,53
000032.png,53
000033.png,62
000034.png,62
000035.png,62
000036.png,62
000037.png,62
000038.png,62
000039.png,62
000040.png,62
000041.png,62
000042.png,62
000043.png,62
000044.png,62
000045.png,62
000046.png,62
000047.png,62
000048.png,62
000049.png,62
000050.png,62
000051.png,62
000052.png,62
000053.png,62
000054.png,62
000055.png,62
000056.png,65
000057.png,55
000058.png,21
000059.png,65
000060.png,55
000061.png,48
000062.png,65
000063.png,48
000064.png,65
000065.png,48
000066.png,7
000067.png,7
000068.png,7
000069.png,65
000070.png,65
000071.png,57
000072.png,57
000073.png,48
000074.png,48
000075.png,53
000076.png,48
000077.png,53
000078.png,48
000079.png,65
000080.png,48
000081.png,63
000082.png,63
000083.png,57
000084.png,57
000085.png,57
000086.png,65
000087.png,65
000088.png,65
000089.png,65
000090.png,65
000091.png,65
000092.png,65
000093.png,65
000094.png,65
000095.png,48
000096.png,48
000097.png,48
000098.png,48
000099.png,48
000100.png,48
000101.png,48
000102.png,48
000103.png,48
000104.png,48
000105.png,48
000106.png,48
000107.png,48
000108.png,48
000109.png,48
000110.png,48
000111.png,48
000112.png,48
000113.png,48
000114.png,48
000115.png,48
000116.png,48
000117.png,48
000118.png,48
000119.png,48
000120.png,11
000121.png,11
000122.png,11
000123.png,11
000124.png,11
000125.png,11
000126.png,11
000127.png,11
000128.png,11
000129.png,11
000130.png,11
000131.png,11
000132.png,11
000133.png,11
000134.png,11
000135.png,11
000136.png,11
000137.png,11
000138.png,11
000139.png,11
000140.png,11
000141.png,11
000142.png,11
000143.png,11
000144.png,11
000145.png,11
000146.png,11
000147.png,11
000148.png,11
000149.png,48
000150.png,48
000151.png,48
000152.png,48
000153.png,48
000154.png,48
000155.png,48
000156.png,7
000157.png,7
000158.png,8
000159.png,8
000160.png,2
000161.png,2
000162.png,11
000163.png,11
000164.png,48
000165.png,48
000166.png,48
000167.png,63
000168.png,63
000169.png,63
000170.png,34
000171.png,48
000172.png,48
000173.png,65
000174.png,65
000175.png,63
000176.png,63
000177.png,63
000178.png,63
000179.png,63
000180.png,63
000181.png,55
000182.png,56
000183.png,48
000184.png,18
000185.png,18
000186.png,18
000187.png,18
000188.png,18
000189.png,8
000190.png,8
000191.png,57
000192.png,57
000193.png,57
000194.png,48
000195.png,63
000196.png,63
000197.png,63
000198.png,63
000199.png,63
000200.png,63
000201.png,63
000202.png,63
000203.png,48
000204.png,65
000205.png,53
000206.png,8
000207.png,43
000208.png,48
000209.png,65
000210.png,48
000211.png,48
000212.png,48
000213.png,56
000214.png,48
000215.png,48
000216.png,65
000217.png,7
000218.png,7
000219.png,17
000220.png,20
000221.png,20
000222.png,11
000223.png,48
000224.png,63
000225.png,65
000226.png,55
000227.png,55
000228.png,57
000229.png,7
000230.png,48
000231.png,48
000232.png,63
000233.png,25
000234.png,55
000235.png,55
000236.png,25
000237.png,25
000238.png,25
000239.png,17
000240.png,56
000241.png,23
000242.png,23
000243.png,48
000244.png,48
000245.png,48
000246.png,48
000247.png,63
000248.png,63
000249.png,63
000250.png,25
000251.png,25
000252.png,25
000253.png,23
000254.png,48
000255.png,48
000256.png,48
000257.png,48
000258.png,48
000259.png,48
000260.png,55
000261.png,55
000262.png,55
000263.png,17
000264.png,17
000265.png,17
000266.png,17
000267.png,23
000268.png,23
000269.png,23
000270.png,23
000271.png,23
000272.png,9
000273.png,43
000274.png,9
000275.png,43
000276.png,9
000277.png,43
000278.png,9
000279.png,43
000280.png,9
000281.png,43
000282.png,9
000283.png,43
000284.png,48
000285.png,48
000286.png,48
000287.png,48
000288.png,2
000289.png,2
000290.png,48
000291.png,48
000292.png,48
000293.png,63
000294.png,63
000295.png,63
000296.png,63
000297.png,63
000298.png,63
000299.png,63
000300.png,25
000301.png,65
000302.png,43
000303.png,43
000304.png,17
000305.png,48
000306.png,48
000307.png,48
000308.png,24
000309.png,17
000310.png,17
000311.png,48
000312.png,48
000313.png,17
000314.png,17
000315.png,26
000316.png,17
000317.png,48
